rental_id,customer_id,vehicle_id,status_date_time,status_location,status
111,711,111,2026-08-31 23:51:23,Bristol,SERVICEREQ
112,688,112,2026-08-28 20:58:08,Luton,AVAILABLE
113,916,113,2026-09-01 15:38:42,Manchester,DAMAGED
114,448,114,2026-09-16 16:54:34,Manchester,DAMAGED
115,502,115,2026-08-27 15:37:37,Manchester,SERVICEREQ
116,669,116,2026-09-06 19:14:53,Manchester,RENTED
117,971,117,2026-09-04 15:12:07,Luton,AVAILABLE
118,219,118,2026-08-28 01:36:09,Manchester,RENTED
119,93,119,2026-09-07 19:45:57,Manchester,RENTED
120,448,120,2026-08-28 12:15:05,Manchester,AVAILABLE
121,599,121,2026-08-26 03:11:46,Luton,AVAILABLE
122,759,122,2026-09-19 06:42:47,Luton,RENTED
123,539,123,2026-08-27 04:59:58,Bristol,DAMAGED
124,444,124,2026-09-15 18:38:16,Bristol,DAMAGED
125,786,125,2026-09-02 08:18:46,Bristol,AVAILABLE
126,587,126,2026-08-30 17:43:39,Luton,DAMAGED
127,101,127,2026-09-11 02:14:10,Luton,SERVICEREQ
128,404,128,2026-09-22 06:23:27,Luton,SERVICEREQ
129,417,129,2026-09-18 06:56:55,Bristol,AVAILABLE
130,143,130,2026-09-20 05:38:53,Bristol,AVAILABLE
131,834,131,2026-08-24 08:41:32,Bristol,AVAILABLE
132,633,132,2026-08-28 03:17:09,Manchester,AVAILABLE
133,787,133,2026-09-11 02:05:45,Bristol,SERVICEREQ
134,613,134,2026-09-10 17:22:42,Luton,SERVICEREQ
135,18,135,2026-09-09 23:44:42,Luton,SERVICEREQ
136,115,136,2026-09-17 07:58:45,Luton,AVAILABLE
137,34,137,2026-09-03 03:16:25,Manchester,SERVICEREQ
138,704,138,2026-09-03 03:16:07,Luton,AVAILABLE
139,880,139,2026-09-19 21:45:14,Bristol,RENTED
140,704,140,2026-08-24 02:02:41,Luton,SERVICEREQ
141,937,141,2026-08-25 14:00:35,Bristol,AVAILABLE
142,560,142,2026-09-05 21:12:08,Manchester,RENTED
143,664,143,2026-09-13 00:06:47,Luton,RENTED
144,570,144,2026-08-28 20:39:35,Manchester,SERVICEREQ
145,759,145,2026-09-10 21:48:30,Bristol,RENTED
146,380,146,2026-09-19 15:00:44,Manchester,RENTED
147,753,147,2026-09-16 17:36:36,Manchester,RENTED
148,362,148,2026-08-29 08:26:48,Bristol,DAMAGED
149,355,149,2026-08-31 07:47:21,Bristol,AVAILABLE
150,759,150,2026-08-27 11:49:22,Manchester,AVAILABLE
151,762,151,2026-09-21 19:06:43,Bristol,SERVICEREQ
152,686,152,2026-09-01 04:04:56,Manchester,AVAILABLE
153,17,153,2026-09-16 11:46:26,Manchester,RENTED
154,754,154,2026-09-09 16:06:23,Luton,DAMAGED
155,385,155,2026-09-06 23:37:05,Manchester,RENTED
156,510,156,2026-08-27 09:00:42,Manchester,DAMAGED
157,892,157,2026-09-16 12:30:06,Bristol,DAMAGED
158,708,158,2026-08-27 22:47:02,Bristol,SERVICEREQ
159,252,159,2026-09-13 10:00:42,Bristol,RENTED
160,816,160,2026-09-02 11:30:06,Manchester,RENTED
161,890,161,2026-09-05 15:12:29,Manchester,SERVICEREQ
162,285,162,2026-08-28 11:10:19,Bristol,SERVICEREQ
163,69,163,2026-09-12 17:47:11,Bristol,AVAILABLE
164,448,164,2026-09-21 09:58:08,Manchester,SERVICEREQ
165,487,165,2026-09-07 03:33:57,Manchester,RENTED
166,870,166,2026-09-15 15:52:28,Luton,SERVICEREQ
167,49,167,2026-08-31 20:16:05,Bristol,RENTED
168,499,168,2026-09-02 19:37:22,Luton,DAMAGED
169,278,169,2026-08-26 07:08:02,Bristol,SERVICEREQ
170,863,170,2026-08-26 06:18:52,Manchester,AVAILABLE
171,258,171,2026-09-19 13:19:14,Luton,AVAILABLE
172,982,172,2026-09-15 13:39:24,Manchester,RENTED
173,132,173,2026-09-07 05:04:23,Luton,DAMAGED
174,136,174,2026-09-11 19:50:46,Bristol,RENTED
175,476,175,2026-08-31 09:34:00,Bristol,SERVICEREQ
176,626,176,2026-09-07 08:04:13,Bristol,RENTED
177,990,177,2026-08-23 20:45:50,Manchester,SERVICEREQ
178,41,178,2026-08-29 21:06:22,Manchester,RENTED
179,67,179,2026-09-03 15:24:54,Luton,AVAILABLE
180,518,180,2026-08-25 03:47:08,Bristol,RENTED
181,191,181,2026-09-11 06:28:24,Luton,SERVICEREQ
182,295,182,2026-09-17 13:56:22,Luton,SERVICEREQ
183,476,183,2026-09-14 00:40:07,Luton,DAMAGED
184,517,184,2026-08-26 00:53:38,Bristol,RENTED
185,93,185,2026-08-25 20:22:04,Luton,RENTED
186,142,186,2026-08-30 09:08:16,Luton,SERVICEREQ
187,986,187,2026-08-28 10:55:00,Luton,SERVICEREQ
188,295,188,2026-09-16 00:52:36,Manchester,SERVICEREQ
189,464,189,2026-09-21 03:00:12,Bristol,RENTED
190,385,190,2026-08-24 20:57:41,Luton,RENTED
191,788,191,2026-09-04 14:11:26,Bristol,SERVICEREQ
192,960,192,2026-09-14 23:30:48,Bristol,DAMAGED
193,275,193,2026-09-15 03:54:51,Luton,AVAILABLE
194,734,194,2026-09-09 14:25:09,Bristol,SERVICEREQ
195,881,195,2026-09-09 02:56:00,Luton,DAMAGED
196,272,196,2026-09-06 17:07:03,Luton,RENTED
197,184,197,2026-09-16 19:45:57,Luton,AVAILABLE
198,400,198,2026-09-21 03:20:39,Luton,RENTED
199,989,199,2026-08-28 18:46:06,Manchester,RENTED
200,639,200,2026-08-29 09:02:37,Manchester,AVAILABLE
201,524,201,2026-09-16 16:01:23,Bristol,DAMAGED
202,877,202,2026-09-04 02:05:48,Bristol,DAMAGED
203,837,203,2026-09-17 06:17:58,Bristol,SERVICEREQ
204,624,204,2026-09-20 18:25:40,Bristol,RENTED
205,311,205,2026-09-18 00:36:59,Bristol,RENTED
206,92,206,2026-09-12 01:00:12,Luton,DAMAGED
207,663,207,2026-09-15 10:16:53,Bristol,DAMAGED
208,577,208,2026-09-20 06:38:23,Luton,AVAILABLE
209,198,209,2026-09-15 20:32:52,Manchester,AVAILABLE
210,472,210,2026-09-04 15:12:58,Manchester,AVAILABLE
211,17,211,2026-09-12 07:41:47,Luton,AVAILABLE
212,976,212,2026-08-30 09:17:56,Bristol,SERVICEREQ
213,833,213,2026-09-15 01:49:44,Manchester,SERVICEREQ
214,414,214,2026-08-24 20:53:16,Bristol,SERVICEREQ
215,55,215,2026-09-12 19:07:20,Bristol,AVAILABLE
216,955,216,2026-08-29 11:55:53,Manchester,SERVICEREQ
217,684,217,2026-09-15 05:23:18,Bristol,AVAILABLE
218,509,218,2026-09-05 17:12:19,Bristol,SERVICEREQ
219,672,219,2026-09-14 20:41:14,Manchester,SERVICEREQ
220,191,220,2026-08-25 03:31:25,Luton,SERVICEREQ
221,934,221,2026-08-24 08:11:31,Manchester,DAMAGED
222,829,222,2026-09-17 17:59:57,Manchester,DAMAGED
223,448,223,2026-08-31 23:32:09,Manchester,SERVICEREQ
224,347,224,2026-09-10 19:36:13,Luton,AVAILABLE
225,486,225,2026-09-11 08:23:45,Manchester,RENTED
226,504,226,2026-09-16 00:49:23,Manchester,SERVICEREQ
227,720,227,2026-08-27 13:09:15,Bristol,AVAILABLE
228,864,228,2026-09-02 07:42:32,Bristol,AVAILABLE
229,840,229,2026-09-13 18:44:52,Bristol,DAMAGED
230,990,230,2026-08-31 02:57:01,Bristol,SERVICEREQ
231,699,231,2026-09-01 07:54:16,Bristol,SERVICEREQ
232,561,232,2026-09-06 17:09:42,Manchester,SERVICEREQ
233,666,233,2026-09-06 09:22:56,Bristol,AVAILABLE
234,493,234,2026-08-28 05:13:22,Bristol,DAMAGED
235,226,235,2026-09-08 09:26:04,Bristol,RENTED
236,502,236,2026-08-27 04:54:13,Luton,AVAILABLE
237,662,237,2026-08-28 08:55:49,Luton,SERVICEREQ
238,302,238,2026-09-10 05:12:57,Manchester,SERVICEREQ
239,30,239,2026-09-20 00:30:27,Luton,SERVICEREQ
240,335,240,2026-09-19 19:27:29,Luton,SERVICEREQ
241,46,241,2026-09-18 16:36:25,Bristol,DAMAGED
242,949,242,2026-08-23 22:46:30,Luton,AVAILABLE
243,589,243,2026-09-04 07:06:41,Luton,RENTED
244,958,244,2026-09-05 01:31:28,Manchester,SERVICEREQ
245,50,245,2026-09-18 03:40:02,Luton,AVAILABLE
246,863,246,2026-08-30 07:24:12,Manchester,SERVICEREQ
247,873,247,2026-08-28 07:37:46,Luton,AVAILABLE
248,541,248,2026-08-26 16:41:16,Luton,RENTED
249,612,249,2026-09-02 14:42:17,Bristol,SERVICEREQ
250,320,250,2026-09-17 22:52:06,Manchester,DAMAGED
251,332,251,2026-09-10 06:39:21,Manchester,RENTED
252,926,252,2026-08-26 08:08:07,Luton,AVAILABLE
253,634,253,2026-09-13 20:20:14,Bristol,DAMAGED
254,790,254,2026-09-17 19:21:53,Luton,AVAILABLE
255,543,255,2026-08-31 08:04:22,Manchester,SERVICEREQ
256,222,256,2026-09-19 02:46:05,Bristol,RENTED
257,201,257,2026-09-15 17:18:33,Manchester,AVAILABLE
258,411,258,2026-09-02 19:06:48,Luton,SERVICEREQ
259,687,259,2026-09-04 22:04:38,Bristol,DAMAGED
260,925,260,2026-09-09 07:40:44,Manchester,DAMAGED
261,656,261,2026-09-06 09:58:25,Bristol,AVAILABLE
262,646,262,2026-09-01 05:51:32,Manchester,AVAILABLE
263,972,263,2026-09-21 17:07:41,Luton,RENTED
264,772,264,2026-09-11 07:48:58,Manchester,SERVICEREQ
265,680,265,2026-09-03 00:02:29,Bristol,RENTED
266,664,266,2026-08-31 05:01:59,Manchester,SERVICEREQ
267,751,267,2026-09-11 01:38:51,Luton,RENTED
268,202,268,2026-09-18 13:26:49,Manchester,AVAILABLE
269,143,269,2026-09-15 07:01:34,Luton,SERVICEREQ
270,135,270,2026-08-24 01:45:40,Bristol,RENTED
271,370,271,2026-08-31 09:01:18,Manchester,SERVICEREQ
272,948,272,2026-09-02 21:50:48,Luton,RENTED
273,899,273,2026-09-03 10:04:59,Luton,DAMAGED
274,807,274,2026-09-13 20:59:03,Bristol,RENTED
275,432,275,2026-09-04 22:21:16,Bristol,DAMAGED
276,33,276,2026-09-16 02:42:14,Manchester,DAMAGED
277,249,277,2026-09-17 07:39:12,Bristol,AVAILABLE
278,575,278,2026-08-26 06:28:02,Bristol,AVAILABLE
279,288,279,2026-08-28 03:22:31,Luton,DAMAGED
280,529,280,2026-08-30 04:30:17,Manchester,SERVICEREQ
281,57,281,2026-09-04 19:10:12,Manchester,RENTED
282,940,282,2026-09-16 05:40:54,Bristol,SERVICEREQ
283,191,283,2026-08-30 19:18:07,Manchester,AVAILABLE
284,819,284,2026-09-21 05:07:41,Luton,SERVICEREQ
285,789,285,2026-09-19 06:55:07,Manchester,SERVICEREQ
286,194,286,2026-09-03 12:07:10,Manchester,DAMAGED
287,225,287,2026-09-08 05:49:26,Luton,DAMAGED
288,170,288,2026-09-10 21:49:18,Manchester,AVAILABLE
289,77,289,2026-09-17 06:38:29,Luton,AVAILABLE
290,148,290,2026-09-09 17:55:26,Luton,SERVICEREQ
291,198,291,2026-08-24 03:09:01,Manchester,RENTED
292,424,292,2026-09-12 02:12:51,Bristol,DAMAGED
293,8,293,2026-09-18 12:14:05,Manchester,SERVICEREQ
294,881,294,2026-09-14 21:25:11,Luton,AVAILABLE
295,169,295,2026-09-09 05:23:56,Manchester,SERVICEREQ
296,974,296,2026-09-16 20:15:00,Manchester,RENTED
297,165,297,2026-08-26 07:50:17,Luton,SERVICEREQ
298,747,298,2026-09-01 19:45:58,Luton,RENTED
299,569,299,2026-08-27 03:16:27,Luton,DAMAGED
300,694,300,2026-09-18 07:46:01,Bristol,SERVICEREQ
301,420,301,2026-09-01 21:11:56,Manchester,SERVICEREQ
302,418,302,2026-08-26 17:12:14,Luton,RENTED
303,154,303,2026-09-05 20:09:34,Bristol,DAMAGED
304,356,304,2026-09-17 02:05:21,Manchester,DAMAGED
305,832,305,2026-09-02 16:30:40,Luton,SERVICEREQ
306,639,306,2026-09-17 20:24:29,Bristol,AVAILABLE
307,999,307,2026-09-01 02:36:51,Manchester,RENTED
308,599,308,2026-09-21 11:11:28,Luton,RENTED
309,879,309,2026-08-29 23:46:30,Manchester,RENTED
310,229,310,2026-08-30 04:17:47,Luton,RENTED
311,844,311,2026-09-02 01:34:25,Bristol,RENTED
312,365,312,2026-09-15 09:41:07,Bristol,AVAILABLE
313,260,313,2026-08-25 15:18:26,Luton,DAMAGED
314,933,314,2026-08-27 14:05:18,Manchester,SERVICEREQ
315,227,315,2026-09-04 05:41:41,Bristol,SERVICEREQ
316,738,316,2026-08-24 20:44:25,Luton,AVAILABLE
317,490,317,2026-09-02 19:16:16,Bristol,RENTED
318,39,318,2026-09-13 04:19:21,Manchester,SERVICEREQ
319,870,319,2026-09-09 17:22:45,Manchester,AVAILABLE
320,18,320,2026-09-10 04:20:48,Bristol,SERVICEREQ
321,48,321,2026-09-05 22:50:16,Manchester,AVAILABLE
322,551,322,2026-09-17 22:34:10,Luton,DAMAGED
323,425,323,2026-09-04 12:06:37,Manchester,SERVICEREQ
324,637,324,2026-08-31 07:28:24,Luton,DAMAGED
325,519,325,2026-09-17 23:11:28,Manchester,DAMAGED
326,135,326,2026-09-14 02:30:12,Luton,SERVICEREQ
327,66,327,2026-08-30 22:25:10,Bristol,RENTED
328,719,328,2026-09-09 02:10:50,Manchester,DAMAGED
329,901,329,2026-09-04 08:49:30,Manchester,RENTED
330,111,330,2026-09-05 05:38:45,Bristol,DAMAGED
331,316,331,2026-09-12 22:18:44,Bristol,AVAILABLE
332,725,332,2026-09-16 10:46:51,Bristol,SERVICEREQ
333,624,333,2026-08-24 15:17:20,Luton,RENTED
334,677,334,2026-09-10 06:56:21,Manchester,AVAILABLE
335,446,335,2026-09-14 00:28:12,Luton,DAMAGED
336,765,336,2026-09-13 03:25:29,Luton,RENTED
337,316,337,2026-09-05 12:44:37,Manchester,DAMAGED
338,523,338,2026-09-16 09:33:52,Luton,DAMAGED
339,519,339,2026-09-09 11:09:21,Bristol,DAMAGED
340,932,340,2026-09-03 11:11:27,Luton,AVAILABLE
341,394,341,2026-09-02 11:50:50,Luton,DAMAGED
342,655,342,2026-08-30 18:59:00,Bristol,SERVICEREQ
343,309,343,2026-09-16 06:57:40,Bristol,SERVICEREQ
344,379,344,2026-09-20 11:19:17,Manchester,RENTED
345,168,345,2026-09-14 08:00:51,Manchester,AVAILABLE
346,771,346,2026-09-14 10:51:11,Manchester,SERVICEREQ
347,959,347,2026-09-01 02:39:41,Luton,SERVICEREQ
348,723,348,2026-09-09 04:41:42,Bristol,DAMAGED
349,28,349,2026-08-30 04:57:03,Manchester,RENTED
350,511,350,2026-09-06 15:53:33,Luton,AVAILABLE
351,65,351,2026-08-26 14:27:10,Luton,SERVICEREQ
352,993,352,2026-09-03 06:44:54,Bristol,RENTED
353,670,353,2026-09-13 15:35:20,Bristol,DAMAGED
354,696,354,2026-08-27 08:07:45,Manchester,AVAILABLE
355,895,355,2026-09-19 02:07:40,Manchester,AVAILABLE
356,929,356,2026-09-01 12:03:59,Bristol,SERVICEREQ
357,560,357,2026-09-16 19:01:34,Luton,AVAILABLE
358,563,358,2026-09-03 20:17:56,Bristol,DAMAGED
359,623,359,2026-09-16 03:44:07,Manchester,SERVICEREQ
360,711,360,2026-09-20 05:52:44,Luton,RENTED
361,666,361,2026-09-18 18:12:07,Manchester,RENTED
362,840,362,2026-09-08 09:57:05,Bristol,DAMAGED
363,560,363,2026-09-18 17:18:34,Manchester,SERVICEREQ
364,273,364,2026-08-31 09:24:17,Luton,SERVICEREQ
365,835,365,2026-09-13 07:03:45,Manchester,AVAILABLE
366,540,366,2026-09-13 22:48:11,Luton,SERVICEREQ
367,872,367,2026-09-07 08:04:24,Bristol,DAMAGED
368,188,368,2026-09-05 10:57:42,Bristol,AVAILABLE
369,87,369,2026-09-01 09:46:33,Manchester,SERVICEREQ
370,130,370,2026-08-26 12:40:15,Luton,AVAILABLE
371,625,371,2026-09-17 23:55:14,Bristol,RENTED
372,98,372,2026-08-26 06:10:30,Bristol,AVAILABLE
373,413,373,2026-09-22 04:49:05,Manchester,RENTED
374,951,374,2026-09-08 23:31:05,Bristol,SERVICEREQ
375,95,375,2026-09-20 00:52:06,Manchester,DAMAGED
376,275,376,2026-09-13 14:25:31,Luton,AVAILABLE
377,27,377,2026-09-01 07:52:03,Luton,SERVICEREQ
378,289,378,2026-09-06 04:17:03,Bristol,SERVICEREQ
379,2,379,2026-09-15 19:50:52,Luton,DAMAGED
380,917,380,2026-09-16 02:23:53,Manchester,AVAILABLE
381,601,381,2026-08-30 05:19:39,Luton,SERVICEREQ
382,834,382,2026-08-29 05:17:38,Manchester,SERVICEREQ
383,348,383,2026-08-31 09:33:28,Manchester,DAMAGED
384,490,384,2026-09-08 21:38:15,Luton,SERVICEREQ
385,564,385,2026-08-29 07:52:24,Luton,AVAILABLE
386,328,386,2026-09-20 03:30:31,Manchester,AVAILABLE
387,783,387,2026-09-09 17:51:16,Manchester,DAMAGED
388,663,388,2026-08-27 10:15:49,Bristol,RENTED
389,432,389,2026-09-15 21:28:06,Manchester,AVAILABLE
390,710,390,2026-09-15 18:39:06,Luton,SERVICEREQ
391,650,391,2026-08-25 13:04:46,Manchester,SERVICEREQ
392,576,392,2026-09-02 15:47:06,Bristol,AVAILABLE
393,369,393,2026-08-29 01:38:59,Manchester,DAMAGED
394,354,394,2026-09-02 00:43:22,Luton,DAMAGED
395,672,395,2026-09-13 20:49:06,Luton,SERVICEREQ
396,167,396,2026-09-17 14:21:57,Luton,RENTED
397,646,397,2026-09-16 20:26:54,Luton,SERVICEREQ
398,885,398,2026-08-30 14:18:15,Luton,SERVICEREQ
399,258,399,2026-08-28 06:09:16,Bristol,AVAILABLE
400,238,400,2026-09-11 09:39:26,Bristol,AVAILABLE
401,787,401,2026-09-01 20:53:23,Bristol,DAMAGED
402,59,402,2026-09-22 08:45:40,Luton,SERVICEREQ
403,322,403,2026-08-26 17:20:46,Bristol,AVAILABLE
404,573,404,2026-09-20 05:14:12,Bristol,DAMAGED
405,800,405,2026-08-30 01:17:19,Bristol,SERVICEREQ
406,880,406,2026-08-26 15:13:16,Manchester,AVAILABLE
407,565,407,2026-09-01 04:34:58,Bristol,SERVICEREQ
408,789,408,2026-09-09 00:44:26,Luton,DAMAGED
409,400,409,2026-09-17 05:05:31,Luton,RENTED
410,995,410,2026-08-27 01:31:29,Luton,AVAILABLE
411,448,411,2026-09-14 18:56:39,Manchester,DAMAGED
412,788,412,2026-09-21 08:35:15,Manchester,SERVICEREQ
413,915,413,2026-09-08 11:40:31,Manchester,AVAILABLE
414,397,414,2026-08-28 03:30:20,Bristol,DAMAGED
415,147,415,2026-08-26 14:15:37,Manchester,RENTED
416,84,416,2026-09-12 03:13:24,Bristol,DAMAGED
417,317,417,2026-08-27 17:25:07,Manchester,DAMAGED
418,831,418,2026-09-20 01:24:24,Manchester,AVAILABLE
419,938,419,2026-09-07 08:56:01,Bristol,DAMAGED
420,533,420,2026-08-26 09:14:55,Bristol,RENTED
421,618,421,2026-09-21 01:00:28,Luton,AVAILABLE
422,26,422,2026-08-27 15:33:10,Manchester,RENTED
423,785,423,2026-09-01 08:34:42,Luton,AVAILABLE
424,626,424,2026-09-07 00:33:10,Luton,AVAILABLE
425,498,425,2026-09-08 22:39:59,Manchester,SERVICEREQ
426,29,426,2026-08-29 12:48:28,Manchester,AVAILABLE
427,983,427,2026-08-30 04:19:59,Bristol,AVAILABLE
428,224,428,2026-08-30 16:48:39,Luton,SERVICEREQ
429,734,429,2026-09-17 17:02:23,Bristol,RENTED
430,14,430,2026-08-26 16:33:46,Bristol,RENTED
431,550,431,2026-09-08 10:55:53,Bristol,RENTED
432,6,432,2026-09-06 12:32:39,Manchester,AVAILABLE
433,937,433,2026-09-07 04:11:30,Manchester,SERVICEREQ
434,176,434,2026-09-21 11:51:50,Luton,AVAILABLE
435,265,435,2026-09-08 06:34:25,Luton,DAMAGED
436,591,436,2026-09-12 03:03:55,Manchester,SERVICEREQ
437,495,437,2026-09-05 06:31:11,Bristol,SERVICEREQ
438,17,438,2026-09-06 02:51:48,Manchester,DAMAGED
439,848,439,2026-09-18 21:14:50,Manchester,RENTED
440,656,440,2026-09-04 21:25:45,Bristol,RENTED
441,497,441,2026-09-05 21:54:09,Manchester,RENTED
442,37,442,2026-09-13 23:07:50,Bristol,RENTED
443,707,443,2026-09-15 22:22:08,Manchester,RENTED
444,437,444,2026-09-06 16:19:44,Manchester,RENTED
445,998,445,2026-09-03 02:57:39,Manchester,SERVICEREQ
446,982,446,2026-09-10 15:59:06,Bristol,DAMAGED
447,457,447,2026-09-18 23:29:48,Bristol,SERVICEREQ
448,651,448,2026-08-25 15:17:14,Luton,RENTED
449,817,449,2026-09-12 18:09:35,Luton,AVAILABLE
